abbreviation,full_name,smiles_pubchem,smiles_opsin,smiles_cactus,smiles_final,doi
DAPEB,"2,4-diaminophenylethynylbenzene;1,3-diamino-4-phenylethynylbenzene",nan,NC1=C(C=CC(=C1)N)C#CC1=CC=CC=C1,nan,Nc1ccc(C#Cc2ccccc2)c(N)c1,photopolymer.27.146
s-BPDA;BPDA,"3,3',4,4'-biphenyltetracarboxylic dianhydride",C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,photopolymer.27.146
PMDA,pyromellitic dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,photopolymer.27.146
ODA,"4,4'-oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,O(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.27.146
DAT,"2,4-diaminotoluene",CC1=C(C=C(C=C1)N)N,NC1=C(C)C=CC(=C1)N,nan,Cc1ccc(N)cc1N,photopolymer.27.146
"3,4-ODPA;a-ODPA","3,4'-oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3cccc4c3C(=O)OC4=O)ccc21,photopolymer.27.161
DDE,"4,4'-diaminodiphenylether",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,nan,nan,nan,photopolymer.27.161
CpODA,"Norbornane-2-spiro-α-cyclopentanone-α'-spiro -2""-norbornane-5,5"",6,6""-tetracarboxylic di- anhydride",C1CC2(CC3CC2C4C3C(=O)OC4=O)C(=O)C15CC6CC5C7C6C(=O)OC7=O,nan,nan,O=C1OC(=O)C2C1C1CC2C2(CCC3(CC4CC3C3C(=O)OC(=O)C43)C2=O)C1,photopolymer.27.167
"1,3-BAB","1,3-Bis(4-aminophenoxy)benzene",C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N,NC1=CC=C(OC2=CC(=CC=C2)OC2=CC=C(C=C2)N)C=C1,nan,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,photopolymer.27.167
m-Tol,"2,2'-dimethyl-1,1'-biphenyl-4,4'-diamine",nan,CC1=C(C=CC(=C1)N)C1=C(C=C(C=C1)N)C,nan,Cc1cc(N)ccc1-c1ccc(N)cc1C,photopolymer.27.167
"4,4'-DDE","4,4'-Diaminodiphenyl ether",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.27.167
"3,4'-DDE","3,4'-Diaminodiphenyl ether",C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)N,nan,nan,Nc1ccc(Oc2cccc(N)c2)cc1,photopolymer.27.167
"4,4'-DABA","4,4'-diaminobenzanilide",C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)N)N,NC1=CC=C(C(=O)NC2=CC=C(C=C2)N)C=C1,nan,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,photopolymer.27.167
DPE;ODA,"4,4'-diaminodiphenyl ether",nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.27.181
BTDA,"3,3',4,4-benzophenonetetracarboxylic acid dianhydride;3,3',4,4'-benzophenonetetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,photopolymer.27.181
nan,"3,3'-[sulfonylbis(p-phenyleneoxy)]dianiline",nan,S(=O)(=O)(C1=CC=C(C=C1)OC=1C=C(N)C=CC1)C1=CC=C(C=C1)OC=1C=C(N)C=CC1,nan,nan,photopolymer.27.181
nan,"1,4-bis(4-aminophenoxy)benzene",C1=CC(=CC=C1N)OC2=CC=C(C=C2)OC3=CC=C(C=C3)N,NC1=CC=C(OC2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.27.181
nan,"2,4,6-triaminopyrimidine",C1=C(N=C(N=C1N)N)N,NC1=NC(=CC(=N1)N)N,nan,nan,photopolymer.27.181
"3,4'-ODPA;a-ODPA","3,4'-oxydiphthalic anhydride",C1=CC2=C(C(=C1)OC3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(Oc3cccc4c3C(=O)OC4=O)ccc21,photopolymer.27.277
DDE,"4,4'-Diaminodiphenylether",C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,nan,nan,nan,photopolymer.27.277
